ProspectID;Channel;Age_group;APR_offered;Grocery_spend;Travel_spend;Apparels_spend;DE_spend;response_ind;Income_Group;Autoloan_ind;Avg_monthly_spend;Avg_Monthly_balance;Avg_monthyl_payrate;student_loan_ind;Times_Mailed;No_of_tradelines
ATH00016;DM;25-35; 14.99 ;164.82;530.162051;508.19;85.89;1;12000+;1;1427.90;3910.66;0.50;0;7;7
ATH00017;DM;55+; 14.99 ;57.97;1433.816301;1106.21;809.04;1;12000+;1;2724.33;4767.90;0.11;0;8;8
ATH00018;DM;25-35; 14.99 ;1248.64;1047.75251;387.23;588.87;1;12000+;0;2960.57;7427.33;0.18;0;10;8
ATH00019;DM;35-55; 16.99 ;1948.95;1200.476399;883.29;274.27;1;0-3000;0;4204.90;11294.14;0.68;0;10;8
ATH00020;DM;25-35; 10.99 ;517.82;505.2107035;1095.77;15.78;1;12000+;1;2226.29;2271.78;0.59;0;8;7
ATH00021;DM;25-35; 10.99 ;1036.56;2132.422862;286.68;367.63;1;9000-12000;0;3785.88;3821.06;0.85;0;5;4
ATH00022;DM;55+; 10.99 ;957.67;2058.314091;407.61;378.24;1;6000-9000;0;3591.36;10412.51;0.38;0;7;7
ATH00023;DM;35-55; 10.99 ;701.54;1201.439871;127.94;529.10;1;12000+;0;2185.01;4791.88;0.51;0;8;7
ATH00024;DM;35-55; 10.99 ;1422.41;545.7385721;721.23;586.45;1;6000-9000;1;2884.68;7785.97;0.40;0;7;4
ATH00025;DM;55+; 12.99 ;432.44;236.2292329;1064.95;369.60;1;6000-9000;1;1841.45;5170.37;0.11;0;7;5
ATH00026;DM;35-55; 14.99 ;359.69;1470.797544;144.88;440.44;1;6000-9000;0;2223.15;3535.08;0.33;1;7;7
ATH00027;DM;35-55; 10.99 ;628.14;2509.997247;1374.74;487.79;1;3000-6000;0;4984.06;10805.85;0.63;1;5;4
ATH00028;DM;18-25; 10.99 ;1805.35;772.672396;962.28;373.58;1;0-3000;0;3832.33;5430.22;0.33;0;8;5
ATH00029;DM;35-55; 10.99 ;529.12;2503.695017;664.98;414.45;1;12000+;0;4114.34;12139.70;0.89;0;3;2
ATH00030;DM;18-25; 12.99 ;1563.24;107.0597903;1356.09;913.65;1;9000-12000;1;3152.66;4720.82;0.40;0;7;5
ATH00031;DM;35-55; 14.99 ;1178.80;492.9276544;248.34;869.35;1;12000+;0;2036.90;2659.39;0.73;1;7;7
ATH00032;DM;18-25; 14.99 ;1570.23;821.6846853;262.65;776.50;1;9000-12000;0;2803.02;3072.10;0.43;0;10;7
ATH00033;DM;35-55; 10.99 ;1952.27;1250.309259;1393.26;79.97;1;9000-12000;0;4861.00;5490.46;0.30;1;7;6
ATH00034;DM;25-35; 10.99 ;763.95;1044.601937;1276.73;600.26;1;0-3000;1;3303.56;8418.19;0.67;1;9;9
ATH00035;DM;18-25; 10.99 ;250.67;515.1588189;1121.25;569.35;1;0-3000;0;2117.97;4003.29;0.39;1;9;9
ATH00036;DM;18-25; 10.99 ;1995.92;2773.586436;417.31;762.17;1;12000+;1;5666.05;7605.28;0.88;0;5;3
ATH00037;DM;35-55; 16.99 ;1178.90;1134.547039;1040.03;519.47;1;9000-12000;0;3464.20;8580.20;0.19;1;9;7
ATH00038;DM;55+; 16.99 ;1072.90;1473.671704;1034.83;319.97;1;9000-12000;0;3713.10;3940.06;0.72;0;9;7
ATH00039;DM;55+; 10.99 ;821.28;783.9054534;65.02;475.57;1;9000-12000;1;1772.83;3362.19;0.14;1;9;7
ATH00040;DM;55+; 14.99 ;867.36;1448.170784;558.88;858.73;1;12000+;1;3124.94;6405.20;0.24;0;10;10
ATH00041;DM;18-25; 14.99 ;1690.51;186.0709993;659.77;117.99;1;0-3000;1;2700.32;5025.46;0.65;1;10;8
ATH00042;DM;55+; 10.99 ;203.51;123.5865822;1108.66;882.77;1;0-3000;0;1541.53;3791.13;0.29;0;9;8
ATH00043;DM;25-35; 16.99 ;652.15;1424.12634;1027.74;872.18;1;9000-12000;0;3265.54;8034.43;0.11;1;7;5
ATH00044;DM;55+; 12.99 ;1996.21;304.2008181;779.53;106.90;1;0-3000;0;3325.45;9045.75;0.48;0;10;9
ATH00045;DM;55+; 14.99 ;1495.01;1175.542933;815.90;335.81;1;12000+;0;3753.73;10860.54;0.69;1;7;5
ATH00046;DM;35-55; 14.99 ;910.71;899.9742373;391.69;560.91;1;9000-12000;1;2343.01;3901.01;0.57;0;7;6
ATH00047;DM;35-55; 12.99 ;94.14;723.360851;1089.27;435.99;1;3000-6000;0;2369.02;6792.22;0.64;0;5;2
ATH00048;DM;18-25; 14.99 ;1719.09;2211.299197;714.91;687.64;1;9000-12000;1;5060.81;10421.64;0.88;1;5;5
ATH00049;DM;55+; 12.99 ;1148.55;2138.374819;529.54;881.77;1;0-3000;0;3917.27;8656.41;0.62;0;6;4
ATH00050;DM;25-35; 16.99 ;472.82;581.1349582;1314.70;675.95;1;12000+;0;2605.73;3194.70;0.21;1;10;10
ATH00051;DM;25-35; 12.99 ;1723.51;2184.776722;534.33;869.21;1;0-3000;0;4728.71;8289.42;0.83;0;6;5
ATH00052;DM;35-55; 12.99 ;1049.55;702.4417956;902.85;66.87;1;3000-6000;1;2921.54;6204.77;0.59;0;8;5
ATH00053;DM;25-35; 14.99 ;1934.39;148.2230681;783.38;297.96;1;12000+;0;3198.47;6004.45;0.96;0;6;3
ATH00054;DM;55+; 12.99 ;1606.03;2551.068058;183.35;201.50;1;3000-6000;0;4818.79;8406.41;0.69;1;4;3
ATH00055;DM;55+; 10.99 ;402.57;957.9498174;623.66;108.68;1;6000-9000;1;2277.16;4794.53;0.17;0;9;7
ATH00056;DM;25-35; 10.99 ;478.21;1191.540122;760.73;106.28;1;6000-9000;1;2565.86;4063.18;0.14;0;8;5
ATH00057;DM;25-35; 16.99 ;822.18;461.3251604;615.16;517.77;1;12000+;1;2103.76;2257.00;0.27;1;9;7
ATH00058;DM;25-35; 14.99 ;882.33;1092.357149;703.11;120.76;1;9000-12000;0;2784.27;3541.13;0.30;0;7;7
ATH00059;DM;55+; 16.99 ;432.86;948.6480937;99.84;988.99;1;3000-6000;1;1667.38;2567.17;0.35;1;7;4
ATH00060;DM;25-35; 10.99 ;109.72;380.8008369;1261.82;383.37;1;3000-6000;1;2029.06;3727.14;0.25;0;7;4
ATH00061;DM;55+; 10.99 ;876.77;458.7449726;1090.96;288.81;1;0-3000;0;2541.00;6757.97;0.11;0;10;10
ATH00062;DM;25-35; 16.99 ;619.66;230.5203456;545.92;155.20;1;9000-12000;1;1560.75;1580.37;0.46;1;8;5
ATH00063;DM;55+; 14.99 ;1827.53;2199.797026;93.06;489.53;1;9000-12000;0;4374.23;8733.00;0.60;0;4;2
ATH00064;DM;55+; 12.99 ;150.94;981.8912034;1167.68;621.69;1;3000-6000;1;2559.81;5656.37;0.13;0;7;6
ATH00065;DM;35-55; 14.99 ;1761.61;712.6283973;259.91;385.25;1;12000+;1;2911.85;5037.27;0.69;0;8;6
ATH00066;DM;35-55; 12.99 ;169.09;278.7043369;632.66;165.30;1;12000+;1;1238.40;2012.42;0.46;0;7;7
ATH00067;DM;25-35; 14.99 ;1323.27;32.57980159;218.77;471.50;1;12000+;0;1746.77;2711.44;0.39;1;9;7
ATH00068;DM;35-55; 12.99 ;52.90;2712.385721;539.84;950.90;1;12000+;0;3487.74;9439.37;0.61;0;6;4
ATH00069;DM;18-25; 12.99 ;1904.04;274.2447735;600.30;982.08;1;9000-12000;1;2961.33;5882.89;0.55;0;8;7
ATH00070;DM;18-25; 14.99 ;165.70;1475.707711;887.67;406.65;1;0-3000;0;2804.59;3480.10;0.27;0;8;5
ATH00071;DM;55+; 12.99 ;1560.70;1089.704521;1161.02;840.00;1;6000-9000;1;4066.60;10603.94;0.35;1;10;7
ATH00072;DM;35-55; 16.99 ;1184.16;745.6918228;780.39;725.75;1;3000-6000;1;2970.27;6560.11;0.31;0;10;7
ATH00073;DM;25-35; 12.99 ;464.02;490.5145987;1080.98;448.93;1;3000-6000;0;2465.57;2777.96;0.73;0;3;1
ATH00074;DM;55+; 10.99 ;154.08;1365.272327;1081.99;666.11;1;0-3000;1;2726.41;7350.73;0.63;0;8;8
ATH00075;DM;35-55; 12.99 ;883.20;807.0558912;134.57;208.93;1;0-3000;0;1963.52;2932.98;0.65;0;8;7
ATH00076;DM;25-35; 16.99 ;107.34;2438.831636;246.85;820.11;1;12000+;0;3233.88;9007.36;0.95;0;5;4
ATH00077;DM;35-55; 10.99 ;891.34;2709.841833;880.06;252.84;1;0-3000;0;4751.46;11623.93;0.77;0;6;5
ATH00078;DM;55+; 14.99 ;1561.84;1272.019251;107.06;360.58;1;9000-12000;1;3116.56;7557.01;0.58;0;8;8
ATH00079;DM;18-25; 14.99 ;852.55;923.2237885;1154.22;260.08;1;12000+;1;3037.87;8145.17;0.17;1;8;7
ATH00080;DM;18-25; 14.99 ;613.02;2557.484504;631.23;179.66;1;9000-12000;0;4163.58;11646.01;0.93;1;3;2
ATH00081;DM;55+; 10.99 ;426.72;46.97254385;72.58;177.32;1;0-3000;1;828.40;2213.83;0.57;1;9;8
ATH00082;DM;55+; 10.99 ;648.84;2053.165074;779.77;338.70;1;12000+;0;3649.06;3651.84;0.80;1;4;1
ATH00083;DM;55+; 10.99 ;1481.66;1011.627256;1372.14;878.24;1;3000-6000;1;4141.56;8184.17;0.53;1;10;8
ATH00084;DM;55+; 12.99 ;1068.77;824.5445943;761.84;740.77;1;6000-9000;0;2784.77;8026.10;0.13;0;7;4
ATH00085;DM;25-35; 10.99 ;337.34;153.2398395;904.46;553.71;1;0-3000;1;1680.71;4516.30;0.60;0;7;4
ATH00086;DM;18-25; 14.99 ;129.19;2896.867898;249.69;543.79;1;9000-12000;0;3531.09;6168.06;0.61;1;5;5
ATH00087;DM;25-35; 16.99 ;1086.80;2134.817281;12.25;417.60;1;9000-12000;0;3362.68;8073.63;0.61;1;7;6
ATH00088;DM;18-25; 10.99 ;513.39;584.0125604;1325.32;586.22;1;6000-9000;1;2610.29;3487.74;0.32;0;9;6
ATH00089;DM;25-35; 16.99 ;1831.18;2359.162056;492.79;523.67;1;9000-12000;1;4787.74;13888.31;0.56;0;7;6
ATH00090;DM;35-55; 12.99 ;626.82;2512.611632;445.12;644.43;1;9000-12000;0;3797.54;4890.95;0.65;0;6;6
ATH00091;DM;18-25; 16.99 ;920.06;841.9040967;341.57;972.96;1;12000+;1;2387.38;3272.17;0.23;0;10;10
ATH00092;DM;35-55; 16.99 ;661.86;904.5375921;767.89;792.48;1;6000-9000;1;2489.95;5555.44;0.61;0;9;6
ATH00093;DM;55+; 16.99 ;1190.14;362.1974442;757.52;632.88;1;9000-12000;0;2558.85;2967.68;0.62;1;9;6
ATH00094;DM;55+; 10.99 ;613.83;1081.783768;615.15;770.51;1;0-3000;1;2439.09;6303.26;0.36;0;10;9
ATH00095;DM;25-35; 16.99 ;1863.53;1057.797219;1417.90;363.38;1;6000-9000;0;4622.84;8695.21;0.20;1;10;10
ATH00096;DM;35-55; 10.99 ;6.63;1455.790893;975.42;356.52;1;3000-6000;0;2552.07;4673.92;0.46;1;8;8
ATH00097;DM;25-35; 10.99 ;1111.12;814.1052274;414.47;706.95;1;9000-12000;0;2602.34;2779.98;0.63;1;7;7
ATH00098;DM;55+; 16.99 ;1280.49;219.6130494;1008.84;854.14;1;6000-9000;0;2793.98;4776.33;0.54;0;8;7
ATH00099;DM;18-25; 14.99 ;687.72;998.7862294;202.02;990.34;1;0-3000;0;2161.14;4183.38;0.70;1;9;7
ATH00100;DM;25-35; 12.99 ;928.23;979.7571789;336.11;563.65;1;0-3000;1;2526.11;6976.75;0.52;0;8;5
ATH00101;DM;25-35; 10.99 ;72.35;1325.091231;257.87;230.58;1;12000+;0;1895.92;4295.61;0.46;0;7;6
ATH00102;DM;55+; 10.99 ;109.70;100.3966338;1239.59;128.74;1;3000-6000;1;1739.59;3668.30;0.20;1;8;6
ATH00103;DM;35-55; 14.99 ;487.78;440.2802123;672.90;375.04;1;3000-6000;0;2073.17;3531.83;0.89;0;4;3
ATH00104;DM;18-25; 12.99 ;739.06;77.21482281;1460.13;251.17;1;6000-9000;0;2547.38;3960.42;0.40;1;10;9
ATH00105;DM;55+; 12.99 ;1046.01;480.7814619;462.24;430.94;1;9000-12000;1;2169.00;6014.63;0.29;1;9;9
ATH00106;DM;25-35; 12.99 ;1592.97;948.7761553;1417.62;273.31;1;6000-9000;1;4198.61;6662.83;0.49;0;9;9
ATH00107;DM;55+; 12.99 ;1537.63;534.9608213;395.08;249.46;1;0-3000;1;2764.30;6083.80;0.71;0;8;8
ATH00108;DM;25-35; 16.99 ;334.05;287.777739;1099.19;373.01;1;12000+;1;1906.02;3560.00;0.18;0;7;7
ATH00109;DM;35-55; 16.99 ;68.95;179.0306383;1490.77;592.73;1;9000-12000;0;1975.47;4760.92;0.74;0;9;6
ATH00110;DM;55+; 10.99 ;177.61;210.3914394;1042.38;595.38;1;9000-12000;1;1646.22;4520.52;0.60;1;7;5
ATH00111;DM;18-25; 12.99 ;1838.43;496.7526949;136.51;575.69;1;3000-6000;0;2648.05;7284.95;0.71;0;8;5
ATH00112;DM;35-55; 10.99 ;790.83;479.0963566;84.54;996.57;1;3000-6000;1;1467.58;2059.97;0.34;1;7;7
ATH00113;DM;35-55; 10.99 ;1166.86;399.6129565;45.31;9.72;1;6000-9000;0;1793.88;2220.90;0.53;0;9;7
ATH00114;DM;35-55; 10.99 ;1430.69;2862.321449;1346.41;880.59;1;12000+;1;5825.92;11564.06;0.13;0;9;6
ATH00115;DM;25-35; 10.99 ;468.95;80.82424608;345.51;378.21;1;12000+;1;1061.33;2836.86;0.73;1;10;9
ATH00116;DM;18-25; 10.99 ;1991.98;815.8928704;195.07;989.21;1;9000-12000;0;3145.53;7464.25;0.49;0;10;7
ATH00117;DM;18-25; 16.99 ;658.18;2.53130056;876.33;556.71;1;3000-6000;1;1819.70;2744.37;0.13;0;7;4
ATH00118;DM;18-25; 10.99 ;1679.59;1222.302861;341.10;559.18;1;6000-9000;0;3687.12;6612.32;0.86;0;4;3
ATH00119;DM;55+; 10.99 ;219.67;1345.164814;517.14;794.46;1;0-3000;1;2221.02;4640.57;0.45;1;7;6
ATH00120;DM;25-35; 16.99 ;1651.14;506.4095373;354.58;549.85;1;9000-12000;0;2645.12;6512.30;0.69;0;5;3
ATH00121;DM;35-55; 14.99 ;1274.89;2901.23553;745.76;723.09;1;3000-6000;0;5346.91;14651.04;0.88;0;4;4
ATH00122;DM;55+; 12.99 ;1980.18;1447.268227;823.23;81.92;1;9000-12000;1;4528.39;13111.47;0.73;0;7;4
ATH00123;DM;35-55; 14.99 ;1136.04;1390.62075;308.94;160.83;1;9000-12000;0;3096.51;4101.55;0.17;0;9;7
ATH00124;DM;25-35; 10.99 ;1741.02;273.7665809;960.56;145.22;1;9000-12000;1;3195.42;9334.01;0.36;0;10;10
ATH00125;DM;25-35; 16.99 ;497.23;652.6525584;611.45;61.27;1;9000-12000;0;2192.39;4336.65;0.93;1;4;3
ATH00126;DM;18-25; 12.99 ;135.18;693.7327694;1449.37;730.43;1;12000+;0;2378.39;3055.56;0.64;1;5;5
ATH00127;DM;25-35; 14.99 ;1817.48;443.2440615;555.13;403.77;1;0-3000;0;3001.11;5873.94;0.53;1;7;7
ATH00128;DM;18-25; 14.99 ;941.70;315.5412906;639.63;592.60;1;12000+;1;2143.07;5056.68;0.42;0;8;8
ATH00129;DM;35-55; 16.99 ;694.85;143.5155858;32.72;727.57;1;0-3000;1;1165.06;3163.07;0.67;0;9;6
ATH00130;DM;55+; 16.99 ;1068.37;2246.975492;478.41;701.54;1;12000+;0;4192.58;10559.51;0.85;0;3;0
ATH00131;DM;25-35; 14.99 ;680.75;1472.204727;1349.41;378.52;1;6000-9000;1;3657.36;8567.58;0.65;0;7;7
ATH00132;DM;18-25; 14.99 ;1708.66;2665.732976;129.28;103.70;1;3000-6000;0;4886.92;6227.62;0.80;0;3;2
ATH00133;DM;25-35; 12.99 ;1730.87;632.4497392;814.51;665.34;1;0-3000;1;3374.48;6131.12;0.69;0;8;6
ATH00134;DM;55+; 14.99 ;1450.41;1481.360248;13.74;133.93;1;9000-12000;1;3225.67;6912.61;0.39;0;8;8
ATH00135;DM;55+; 16.99 ;213.81;346.1258722;477.15;226.77;1;12000+;0;1248.87;2868.10;0.60;1;8;7
ATH00136;DM;55+; 10.99 ;1242.14;222.2542053;434.42;895.29;1;0-3000;0;2142.10;3010.95;0.32;0;7;6
ATH00137;DM;35-55; 16.99 ;1268.74;2130.284089;322.86;954.98;1;3000-6000;0;3926.45;6602.56;0.58;0;7;5
ATH00138;DM;55+; 14.99 ;67.78;450.7080301;391.80;498.58;1;0-3000;0;1203.58;2276.68;0.43;0;9;6
ATH00139;DM;18-25; 16.99 ;154.25;1415.593369;448.83;456.71;1;3000-6000;1;2217.67;6553.52;0.75;0;8;7
ATH00140;DM;18-25; 10.99 ;578.35;1116.741837;987.12;564.93;1;0-3000;0;2787.57;4842.22;0.52;0;7;5
ATH00141;DM;35-55; 10.99 ;1127.86;2449.384999;1210.89;843.67;1;9000-12000;1;5169.71;9393.03;0.84;1;6;3
ATH00142;DM;55+; 12.99 ;790.00;232.6799473;1162.21;385.64;1;9000-12000;0;2392.87;4549.25;0.16;0;10;8
ATH00143;DM;55+; 10.99 ;524.35;295.0462426;1209.03;696.09;1;3000-6000;1;2196.78;2825.69;0.54;0;7;5
ATH00144;DM;25-35; 12.99 ;1503.50;1105.434348;888.80;70.04;1;12000+;0;3690.89;10212.35;0.34;1;10;8
ATH00145;DM;55+; 14.99 ;915.01;369.2342765;59.95;154.50;1;3000-6000;1;1589.48;2337.50;0.47;1;8;8
ATH00146;DM;18-25; 16.99 ;1146.22;1036.296068;332.77;717.65;1;0-3000;0;2616.39;5414.42;0.27;1;8;5
ATH00147;DM;18-25; 14.99 ;871.59;1228.339892;1362.19;912.78;1;9000-12000;0;3914.57;11066.76;0.75;0;5;3
ATH00148;DM;55+; 14.99 ;922.12;1033.485123;76.07;906.25;1;3000-6000;1;2157.22;5826.27;0.60;0;7;5
ATH00149;DM;18-25; 14.99 ;363.79;414.56244;1288.30;367.15;1;9000-12000;1;2353.66;4884.30;0.66;0;10;9
ATH00150;DM;25-35; 16.99 ;1599.16;123.2492626;675.38;831.59;1;3000-6000;0;2682.26;7580.12;0.57;0;8;6
ATH00151;DM;18-25; 14.99 ;1000.71;774.4618241;1456.81;552.79;1;6000-9000;0;3369.92;9093.11;0.27;1;9;8
ATH00152;DM;35-55; 12.99 ;851.61;595.7339404;1163.98;195.37;1;12000+;1;2840.03;7471.61;0.34;1;7;4
ATH00153;DM;18-25; 10.99 ;206.89;2113.807953;401.17;955.83;1;3000-6000;0;3025.01;6312.77;0.87;1;6;4
ATH00154;DM;25-35; 16.99 ;347.89;917.8601689;708.41;420.47;1;0-3000;0;2107.91;4469.09;0.74;1;10;8
ATH00155;DM;55+; 14.99 ;1995.93;2116.327739;4.18;397.72;1;3000-6000;0;4403.86;8465.00;0.79;0;4;4
ATH00156;DM;55+; 14.99 ;798.00;666.1919978;727.30;164.14;1;3000-6000;0;2365.31;3142.94;0.12;1;10;8
ATH00157;DM;55+; 16.99 ;350.76;2275.096697;446.26;432.29;1;6000-9000;0;3290.79;3293.64;0.84;1;4;1
ATH00158;DM;55+; 10.99 ;253.80;98.75160593;444.91;909.22;1;0-3000;1;1009.51;1127.70;0.60;0;9;6
ATH00159;DM;35-55; 12.99 ;149.05;699.1655955;943.38;520.78;1;12000+;0;1988.72;2751.08;0.73;0;8;7
ATH00160;DM;55+; 16.99 ;74.11;1372.403718;1497.51;458.00;1;9000-12000;0;3151.21;9196.08;0.68;0;10;10
ATH00161;DM;35-55; 12.99 ;119.08;2326.659591;1047.19;50.85;1;12000+;0;3651.08;6214.72;0.63;0;3;0
ATH00162;DM;35-55; 16.99 ;966.04;264.4282389;794.89;569.35;1;0-3000;0;2321.81;4845.73;0.62;0;9;8
ATH00163;DM;35-55; 10.99 ;1460.34;1221.771209;196.90;889.87;1;3000-6000;0;3059.32;8422.44;0.17;1;8;7
ATH00164;DM;35-55; 10.99 ;156.23;567.3072721;966.71;760.95;1;12000+;0;1886.20;2406.18;0.66;1;5;5
ATH00165;DM;55+; 12.99 ;25.17;1477.951974;1263.10;815.52;1;0-3000;0;3045.07;7977.39;0.25;1;7;7
ATH00166;DM;55+; 12.99 ;374.40;2178.054933;383.81;781.02;1;12000+;0;3224.95;4927.29;0.35;0;7;7
ATH00167;DM;18-25; 12.99 ;278.99;207.6155618;213.94;326.16;1;12000+;1;943.32;1680.43;0.61;1;9;6
ATH00168;DM;18-25; 12.99 ;1627.16;2815.929253;572.40;375.40;1;6000-9000;0;5206.35;10826.61;0.47;1;7;7
ATH00169;DM;55+; 12.99 ;1928.58;1161.589279;514.18;917.93;1;6000-9000;0;3835.75;7477.93;0.15;0;7;6
ATH00170;DM;18-25; 16.99 ;1185.83;1051.171083;486.43;231.46;1;3000-6000;0;2970.88;6018.75;0.55;0;7;7
ATH00171;DM;55+; 16.99 ;1630.14;1399.008549;1262.93;353.56;1;3000-6000;1;4509.22;12367.37;0.71;1;7;6
ATH00172;DM;55+; 16.99 ;452.05;1484.667592;1147.19;267.48;1;3000-6000;1;3257.07;6619.40;0.21;0;9;8
ATH00173;DM;25-35; 14.99 ;314.65;696.233503;701.87;23.24;1;3000-6000;0;1826.03;4794.61;0.71;1;10;10
ATH00174;DM;55+; 14.99 ;1286.11;1097.958215;736.88;43.80;1;9000-12000;1;3400.23;7399.19;0.57;1;8;6
ATH00175;DM;25-35; 16.99 ;1320.33;503.5601915;965.49;969.90;1;0-3000;1;2973.91;7955.16;0.33;1;9;9
ATH00176;DM;18-25; 12.99 ;526.31;1042.787674;61.84;568.82;1;12000+;0;1832.95;4521.73;0.53;0;10;10
ATH00177;DM;35-55; 12.99 ;1201.71;1190.252213;1103.86;549.79;1;6000-9000;1;3596.40;6146.11;0.12;1;9;9
ATH00178;DM;25-35; 10.99 ;414.59;1369.491116;1438.27;741.90;1;0-3000;0;3378.82;3730.57;0.26;0;7;5
ATH00179;DM;25-35; 16.99 ;171.25;0.75859923;42.53;858.76;1;12000+;0;673.75;1797.87;0.83;0;6;6
ATH00180;DM;18-25; 10.99 ;576.34;644.6775929;725.58;769.12;1;0-3000;1;2062.25;3309.59;0.69;1;9;9
ATH00181;DM;55+; 12.99 ;958.99;864.4905886;481.06;474.38;1;12000+;1;2509.27;6138.22;0.15;0;10;10
ATH00182;DM;25-35; 16.99 ;965.32;2882.060512;886.89;214.20;1;12000+;0;5193.67;15502.27;0.70;0;6;5
ATH00183;DM;55+; 16.99 ;985.73;1435.662453;456.23;835.73;1;6000-9000;0;3058.52;5870.81;0.44;1;9;8
ATH00184;DM;35-55; 10.99 ;1489.37;540.4475014;76.31;478.58;1;0-3000;0;2243.04;3534.24;0.44;0;8;5
ATH00185;DM;25-35; 12.99 ;294.38;1334.680463;1018.71;0.90;1;6000-9000;1;2927.89;6481.34;0.60;0;7;7
ATH00186;DM;18-25; 12.99 ;743.94;103.962144;1029.02;9.94;1;3000-6000;1;2078.50;4961.88;0.57;1;8;8
ATH00187;DM;25-35; 14.99 ;1784.15;1217.157702;440.76;53.39;1;12000+;1;3718.00;5035.02;0.57;1;9;8
ATH00188;DM;18-25; 14.99 ;1987.97;47.50308788;716.62;176.24;1;3000-6000;0;2913.61;5051.58;0.64;1;7;6
ATH00189;DM;35-55; 16.99 ;18.49;1046.717632;178.37;753.63;1;9000-12000;0;1681.18;4421.65;0.99;0;5;5
ATH00190;DM;25-35; 14.99 ;1094.71;56.67184504;1102.77;502.60;1;0-3000;0;2532.91;7283.25;0.29;0;8;5
ATH00191;DM;25-35; 10.99 ;1582.22;707.0336596;1438.52;373.42;1;3000-6000;1;4005.07;10221.82;0.49;0;10;9
ATH00192;DM;25-35; 14.99 ;284.24;734.0849231;1099.53;399.41;1;3000-6000;0;2344.00;3397.47;0.66;0;8;6
ATH00193;DM;35-55; 12.99 ;1770.18;630.0715632;1045.19;766.62;1;3000-6000;1;3661.63;10264.61;0.42;1;9;8
ATH00194;DM;18-25; 16.99 ;1472.82;1017.47836;175.76;985.40;1;6000-9000;1;2832.14;6938.40;0.52;0;7;4
ATH00195;DM;25-35; 12.99 ;1605.92;234.2924071;1385.86;462.26;1;3000-6000;1;3336.72;9349.85;0.11;1;8;5
ATH00196;DM;25-35; 12.99 ;1629.26;715.4393553;397.43;318.86;1;0-3000;0;2850.38;5859.97;0.14;0;9;9
ATH00197;DM;18-25; 14.99 ;1082.68;40.35975142;969.77;23.34;1;6000-9000;0;2331.78;6962.34;0.30;0;9;7
ATH00198;DM;18-25; 16.99 ;1367.12;713.8425197;247.91;940.60;1;12000+;0;2521.29;5436.39;0.29;0;7;5
ATH00199;DM;25-35; 14.99 ;293.12;1002.222044;381.92;778.65;1;9000-12000;0;1938.42;5756.13;0.51;0;10;10
ATH00200;DM;55+; 10.99 ;771.34;2342.271498;609.78;891.78;1;12000+;1;3910.21;7247.68;0.65;0;6;6
ATH00201;DM;55+; 10.99 ;1737.48;1376.372097;662.41;742.24;1;0-3000;0;3978.59;4041.21;0.12;0;7;5
ATH00202;DM;35-55; 12.99 ;520.85;1436.442607;977.15;710.64;1;12000+;0;3146.80;7308.00;0.47;0;7;4
